page,clicks,impressions,position,ctr_pct
https://keifaldiafa.com/,131,8521,11.72,1.54
https://keifaldiafa.com/qahwajiin-riyadh,8,2764,11.44,0.29
https://keifaldiafa.com/diyafa-munasabat-jeddah,73,2107,9.03,3.46
https://keifaldiafa.com/qahwajiin-jeddah,21,1908,12.52,1.1
https://keifaldiafa.com/sababin-qahwa-jeddah,35,1882,9.25,1.86
https://keifaldiafa.com/sababin-qahwa-riyadh,21,1798,8.62,1.17
https://keifaldiafa.com/diyafa-munasabat-riyadh,45,1780,8.62,2.53
https://keifaldiafa.com/qahwajiin-makkah,10,1433,8.8,0.7
https://keifaldiafa.com/diyafa-munasabat-taif,27,1110,7.98,2.43
https://keifaldiafa.com/diyafa-munasabat-abha,38,1108,6.75,3.43
https://keifaldiafa.com/diyafa-munasabat-dammam,43,1067,8.02,4.03
https://keifaldiafa.com/sababin-qahwa-madinah,10,1066,12.0,0.94
https://keifaldiafa.com/locations/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6,10,1050,13.69,0.95
https://keifaldiafa.com/services,1,1025,38.94,0.1
https://keifaldiafa.com/sababin-qahwa-taif,13,1015,9.34,1.28
https://keifaldiafa.com/diyafa-munasabat-madinah,38,991,7.98,3.83
https://keifaldiafa.com/qahwajiin-taif,18,928,7.99,1.94
https://keifaldiafa.com/diyafa-munasabat-makkah,30,829,7.32,3.62
https://keifaldiafa.com/locations/%D8%A7%D9%84%D8%AF%D9%85%D8%A7%D9%85,18,640,13.26,2.81
https://keifaldiafa.com/sababin-qahwa-abha,23,611,11.96,3.76
https://keifaldiafa.com/sababin-qahwa-makkah,4,579,12.26,0.69
https://keifaldiafa.com/qahwajiin-dammam,4,542,19.56,0.74
https://keifaldiafa.com/diyafa-munasabat-yanbu,15,531,7.36,2.82
https://keifaldiafa.com/qahwajiin-madinah,11,501,12.58,2.2
https://keifaldiafa.com/portfolio,3,424,29.93,0.71
https://keifaldiafa.com/sababin-qahwa-yanbu,4,387,14.67,1.03
https://keifaldiafa.com/locations/%D9%8A%D9%86%D8%A8%D8%B9,8,282,9.98,2.84
https://keifaldiafa.com/qahwajiin-abha,15,281,11.58,5.34
https://keifaldiafa.com/locations/%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D9%85%D9%86%D9%88%D8%B1%D8%A9,8,247,15.08,3.24
https://keifaldiafa.com/locations/%D8%A3%D8%A8%D9%87%D8%A7,3,175,8.37,1.71
https://keifaldiafa.com/about,0,165,8.1,0.0
https://keifaldiafa.com/locations/%D8%AC%D8%AF%D8%A9,1,157,13.62,0.64
https://keifaldiafa.com/locations,0,128,12.5,0.0
https://keifaldiafa.com/locations/%D8%A7%D9%84%D8%B7%D8%A7%D8%A6%D9%81,4,120,13.5,3.33
https://keifaldiafa.com/legal,1,102,7.1,0.98
https://keifaldiafa.com/?page_id=33,0,1,7.0,0.0
