clean_url,clicks,impressions,cost_sar,conversions
https://keifaldiafa.com/,21085,1560272,59431.4,52.7
https://keifaldiafa.com/diyafa-munasabat-jeddah,194,2990,726.0,50.4
https://keifaldiafa.com/qahwajiin-jeddah,133,4410,742.5,68.8
https://keifaldiafa.com,100,3757,320.7,30.0
https://keifaldiafa.com/sababin-qahwa-jeddah,54,2458,215.0,14.7
https://keifaldiafa.com/locations/%D8%AC%D8%AF%D8%A9,8,35,31.0,0.5
https://keifaldiafa.com/portfolio,7,283,54.9,5.2
https://keifaldiafa.com/contact,3,969,16.0,1.0
https://keifaldiafa.com/sababin-qahwa-riyadh,1,9,2.7,0.0
https://keifaldiafa.com/about,0,119,0.0,0.0
https://keifaldiafa.com/offerings,0,378,0.0,0.0
https://keifaldiafa.com/services,0,1139,0.0,0.0
