month,clicks,impressions,cost_sar,conversions,ctr_pct,cpc_sar
2023-02,257,4825,686.91,0.0,5.33,2.67
2023-03,272,4335,889.33,0.0,6.27,3.27
2023-04,244,4954,654.31,0.0,4.93,2.68
2023-05,518,12944,3101.56,0.0,4.0,5.99
2023-06,212,5726,422.37,0.0,3.7,1.99
2023-07,2463,186245,2530.63,0.0,1.32,1.03
2023-08,98,1981,273.98,0.0,4.95,2.8
2023-09,112,1837,341.2,0.0,6.1,3.05
2023-10,184,2637,493.07,0.0,6.98,2.68
2023-11,2094,143007,3552.72,5.0,1.46,1.7
2023-12,1630,134626,2406.83,6.0,1.21,1.48
2024-01,1733,79993,2115.92,10.0,2.17,1.22
2024-02,1173,84681,2530.02,0.0,1.39,2.16
2024-03,319,9324,895.77,0.0,3.42,2.81
2024-04,796,41274,2182.92,0.0,1.93,2.74
2024-05,1864,43320,2726.35,1.0,4.3,1.46
2024-06,640,59152,3041.28,0.0,1.08,4.75
2024-07,885,97628,2926.9,1.0,0.91,3.31
2024-08,1044,123491,2717.09,0.0,0.85,2.6
2024-09,1425,306352,3721.3,1.0,0.47,2.61
2024-10,1080,22470,3462.46,3.0,4.81,3.21
2024-11,730,14082,2848.14,2.0,5.18,3.9
2024-12,361,1886,1957.9,1.0,19.14,5.42
2025-01,243,1722,3072.5,0.0,14.11,12.64
2025-02,226,3209,2980.91,1.0,7.04,13.19
2025-03,132,665,955.15,1.0,19.85,7.24
2025-04,123,962,554.88,0.0,12.79,4.51
2025-05,278,3944,2936.68,1.0,7.05,10.56
2025-06,103,1732,1231.16,0.0,5.95,11.95
2025-07,82,1166,921.06,0.0,7.03,11.23
2025-08,68,614,573.42,0.04,11.07,8.43
2025-09,170,1007,1178.86,2.96,16.88,6.93
2025-10,14,85,40.1,0.0,16.47,2.86
2025-11,2,4,56.9,0.0,50.0,28.45
2025-12,212,2858,1429.13,0.0,7.42,6.74
2026-01,53,365,251.64,0.0,14.52,4.75
2026-06,76,828,519.86,0.0,9.18,6.84
2026-07,325,5853,1069.03,35.0,5.55,3.29
2026-08,504,5104,2384.37,155.0,9.87,4.73
2026-09,3,12,21.42,0.0,25.0,7.14
